@relation R_data_frame

@attribute score_rank numeric
@attribute price numeric
@attribute Strategy numeric
@attribute Multiplayer numeric
@attribute Action numeric
@attribute COOP numeric
@attribute Early_Access numeric
@attribute Open_World numeric
@attribute Adventure numeric
@attribute Indie numeric
@attribute Casual numeric
@attribute Horror numeric
@attribute Puzzle numeric
@attribute Platformer numeric
@attribute Two_Dimensional numeric
@attribute Pixel_Graphics numeric
@attribute Point_And_Click numeric
@attribute VR numeric
@attribute likely_to_succeed numeric

@data
77,3999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
43,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1
67,1999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
84,1499,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
50,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1
39,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
73,3999,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
50,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
52,2499,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
98,2999,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
14,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
8,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
67,1499,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
80,2999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
21,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
84,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
34,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
17,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
84,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
80,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
