"","score_rank","average_forever","price","Strategy","Multiplayer","Action","RPG","Simulation","Adventure","Singleplayer","Indie","Casual","Atmospheric","Great Soundtrack","Puzzle","2D"
"206",98,"[317,  475)",999,0,0,1,0,0,0,1,1,0,1,1,0,1
"207",70,"[931,41947]",2499,1,1,1,0,1,1,1,1,0,1,0,0,0
"208",65,"[317,  475)",1999,0,1,1,0,1,0,1,0,0,0,1,0,0
"209",77,"[931,41947]",3999,1,1,1,0,1,1,1,0,0,0,0,0,0
"211",43,"[475,  931)",0,0,1,1,0,1,1,1,0,1,0,0,0,0
"212",67,"[931,41947]",1999,1,1,1,0,1,1,1,0,0,1,0,0,0
"213",84,"[931,41947]",1499,1,1,1,1,0,0,1,1,0,0,0,0,0
"214",50,"[931,41947]",0,0,1,1,0,1,1,0,0,0,1,0,0,0
"215",39,"[246,  317)",0,0,1,1,1,0,1,0,1,0,0,0,0,0
"216",73,"[475,  931)",3999,0,1,1,0,0,1,1,1,0,0,0,0,0
"218",50,"[475,  931)",0,0,1,1,1,0,1,1,0,0,0,0,0,0
"219",52,"[931,41947]",2499,0,1,1,1,0,1,1,1,0,0,0,0,0
"220",98,"[931,41947]",2999,0,0,1,1,0,1,1,0,0,0,0,0,1
"221",14,"[475,  931)",0,0,1,1,1,0,1,1,0,0,0,0,0,0
"223",8,"[246,  317)",0,0,1,1,0,0,1,1,1,0,0,0,0,0
"224",67,"[475,  931)",1499,0,1,1,0,0,0,1,0,0,1,0,0,0
"225",80,"[931,41947]",2999,1,1,1,1,0,1,1,0,0,1,1,0,0
"226",21,"[123,  165)",0,0,1,1,0,0,1,1,0,0,1,0,0,0
"227",84,"[123,  165)",0,0,1,1,0,0,1,1,1,0,0,0,0,0
"228",34,"[317,  475)",1999,0,1,1,0,0,1,1,0,0,1,0,0,0
"231",17,"[931,41947]",0,0,1,1,1,0,1,0,0,0,0,1,0,0
"232",84,"[475,  931)",1999,0,1,1,1,0,1,1,0,0,1,1,0,0
"234",80,"[931,41947]",1999,1,1,1,1,0,0,1,0,0,0,0,0,0
"235",93,"[475,  931)",799,1,0,1,0,1,1,1,1,1,0,0,1,0
"236",98,"[931,41947]",1499,0,0,1,0,0,0,1,1,0,1,1,0,1
"237",93,"[931,41947]",1999,1,1,1,0,1,0,1,0,0,0,1,0,0
"238",84,"[317,  475)",999,0,1,1,0,0,1,1,0,0,1,1,0,0
"239",65,"[931,41947]",999,1,1,1,0,0,0,0,1,1,0,1,0,1
"240",52,"[931,41947]",3999,0,1,1,1,0,1,1,0,0,1,0,0,0
"241",50,"[203,  246)",149,0,1,1,0,1,0,1,0,1,0,1,0,0
"242",93,"[931,41947]",1999,0,0,1,1,0,1,1,0,0,1,1,0,0
"243",35,"[317,  475)",1999,0,1,1,0,0,1,1,0,0,0,0,0,0
"244",95,"[317,  475)",999,1,0,0,0,1,1,1,1,1,1,1,1,1
"245",17,"[165,  203)",0,0,1,1,0,1,1,1,1,1,0,0,0,0
"246",56,"[475,  931)",1999,0,1,1,0,0,1,1,0,0,1,1,0,0
"247",54,"[475,  931)",0,1,1,1,0,1,1,1,1,1,0,0,0,1
"248",93,"[475,  931)",1999,1,0,0,0,1,1,1,1,0,1,0,0,1
"249",98,"[931,41947]",3999,1,0,0,0,1,1,1,1,0,0,0,0,0
"250",93,"[931,41947]",1499,0,0,1,1,0,1,1,0,0,1,1,0,0
"251",77,"[931,41947]",1999,1,0,0,0,1,0,1,1,1,1,0,0,0
"252",80,"[317,  475)",2999,0,0,1,0,0,1,1,0,0,1,1,0,0
"253",56,"[203,  246)",999,1,0,1,0,1,0,1,1,1,0,1,1,0
"254",5,"[475,  931)",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"255",87,"[931,41947]",5999,0,1,1,1,0,1,1,0,0,1,0,0,0
"256",41,"[931,41947]",5999,1,1,0,0,1,0,1,0,1,0,1,0,0
"257",84,"[931,41947]",5999,0,1,1,0,0,0,1,0,0,1,1,0,0
"258",59,"[931,41947]",999,1,1,1,0,0,1,0,1,0,1,0,0,0
"259",32,"[931,41947]",1999,1,1,1,0,0,0,0,0,0,1,0,0,0
"260",28,"[317,  475)",1999,0,1,1,0,0,0,1,0,0,0,0,0,0
"261",28,"[246,  317)",1999,0,1,1,0,0,0,1,0,0,0,0,0,0
"262",98,"[317,  475)",1499,1,0,1,0,0,1,1,1,1,1,0,1,1
"263",7,"[931,41947]",0,1,1,1,1,0,1,0,0,1,0,0,0,0
"264",90,"[317,  475)",2999,0,1,1,0,0,1,1,0,0,1,1,0,0
"265",95,"[317,  475)",1999,0,0,1,0,0,1,1,1,0,1,0,0,0
"266",84,"[317,  475)",0,0,1,1,0,0,1,1,0,0,0,0,0,0
"267",43,"[931,41947]",0,1,1,1,1,0,1,1,0,0,0,0,0,0
"268",90,"[475,  931)",999,0,1,1,1,0,1,1,0,0,0,1,0,0
"270",90,"[931,41947]",999,1,1,1,0,1,0,1,0,0,1,1,0,0
"271",87,"[317,  475)",1299,1,1,1,0,0,0,1,0,0,0,0,0,0
"272",25,"[931,41947]",0,0,1,1,1,0,1,1,0,0,0,0,0,0
"273",90,"[931,41947]",1999,0,0,1,1,0,1,1,0,0,1,1,0,0
"274",56,"[ 67,  123)",799,0,0,1,0,0,0,1,0,0,1,1,0,0
"275",67,"[ 67,  123)",1499,0,0,1,0,0,1,1,0,0,0,1,0,1
"276",80,"[317,  475)",1499,1,1,1,1,0,1,1,1,0,0,1,0,0
"277",95,"[246,  317)",1499,0,1,1,0,0,1,1,1,1,1,1,1,1
"278",87,"[931,41947]",1999,0,1,1,0,0,1,1,0,0,0,1,0,0
"279",34,"[165,  203)",0,0,1,1,0,1,1,1,1,1,0,0,0,0
"280",70,"[246,  317)",999,0,1,1,0,0,1,1,0,0,1,1,0,0
"281",70,"[931,41947]",1999,1,1,1,1,1,1,1,0,1,0,0,0,0
"282",67,"[475,  931)",1999,1,0,1,1,0,1,1,0,0,1,0,1,0
"283",45,"[475,  931)",1999,1,1,1,1,0,1,1,0,0,1,0,0,0
"284",54,"[931,41947]",1499,1,1,1,0,1,0,1,0,1,1,0,0,0
"285",80,"[165,  203)",999,0,0,1,0,0,1,1,1,1,1,1,1,1
"286",87,"[475,  931)",999,1,1,1,0,1,1,0,1,0,0,0,0,0
"287",84,"[475,  931)",1999,1,1,1,0,0,1,1,1,1,0,0,1,1
"288",73,"[246,  317)",0,0,1,1,0,0,0,0,1,1,0,0,1,0
"289",59,"[203,  246)",999,0,1,1,0,0,0,0,1,0,0,0,0,0
"290",54,"[123,  165)",0,0,1,1,0,0,1,1,0,0,0,0,0,0
"291",80,"[931,41947]",1999,0,0,1,1,0,1,1,0,0,1,1,0,0
